Konten,Kelas
" :  “audzu billahi minas syaithonir rojiim… tampak terlihat di parkiran gedung dpr … ternyata benar2 terjadi jin ikut hadir serta dalam agenda pelantikan saudara mereka jokowi-ma’ruf bersyukurlah kalian wahai bangsa jin pd allah, krn untuk suatu hikmah yg besar, allah sembunyikan kalian bangsa jin dari pandangan mata bangsa manusia, jika tidak maka kalian akan merasakan betapa bisa sangat ganasnya bangsa manusia yaitu bani adam. wallahu ‘alam…” sumber : https://perma.cc/fze8-2g45 (arsip) – sudah dibagikan 1898 kali saat tangkapan layar diambil. ============================================= ",HOAX
"  berdasarkan hasil penelusuran yang dilakukan oleh anggota grup forum anti fitnah, hasut, dan hoax, video tersebut faktanya bukanlah video yang benar-benar terjadi di parkiran gedung dpr seperti yang diklaim oleh akun sumber. video itu nyatanya adalah video buatan oleh youtuber asal republik nikaragua, jjpd producciones. video tersebut diunggah di chanel terverifikasi milik yang bernama jjoaquin perez dan jimmy perez tersebut pada 25 februari 2016. video tersebut diberi judul “strange creature caugth on tape in parking 2016” atau yang jika diterjemahkan ke bahasa indonesia artinya ; “makhluk aneh terperangkap dalam rekaman di parkir 2016”. pada deskripsi, jjpd producciones menuliskan keterangan sebagai berikut : “strange creature caugth on tape in parking 2016.a young man in a parking heading towards his car, he realize that something strangeit hides under a car, the young man takes his smartphone and starts recording allwhat happened in the video (strange creature in parking 2016).——————————————————————————jjpd produccionesvideo cgi (computer-generated imagery)” cgi atau yang dikenal sebagai computer-generated imagery (cgi; bahasa indonesia: “pencitraan yang dihasilkan komputer”) adalah penggunaan grafik komputer (atau lebih tepatnya, grafik komputer 3d) dalam efek spesial. cgi digunakan dalam film, acara televisi dan iklan, dan juga media cetak. ",FAKTA
":  “itu siapa bro??? presiden indonesia bro,” unggah akun facebook edelwies cleo atau @edelwies.cleo, sabtu (19/10). =====  ",HOAX
": akun facebook edelwies cleo atau @edelwies.cleo mengunggah sepasang gambar pada facebooknya, sabtu (19/10). gambar pertama atau di sisi kiri adalah mantan pemain sepak bola dari klub real madrid yakni cristiano ronaldo dan képler laveran lima ferreira atau pepe. sedangkan gambar kedua ialah seseorang dengan topi baret berwarna merah, berkacamata hitam dengan memegang tongkat komando dan terdapat bendera berlambang polri di belakangnya. dalam gambar pertama, dituliskan narasi berikut, “itu siapa bro??? presiden indonesia bro,” unggah akun facebook edelwies cleo atau @edelwies.cleo, sabtu (19/10). akun @edelwies.cleo juga menambahkan narasi “hahahaha”. setelah ditelusuri melalui mesin pencari, diketahui gambar pertama adalah meme yang ramai diunggah warganet saat barcelona gagal lolos ke liga champion 2016 karena kalah agregat dari atletico madrid. meme tersebut pun ditayangkan pada media daring brilio.net. sedangkan untuk gambar kedua adalah suntingan atau bukan foto asli presiden ri, joko widodo (jokowi). diketahui, foto kedua adalah foto kapolri periode 2008 – 2010 yakni bambang hendarso danuri. unggahan yang dibuat akun facebook @edelwies.cleo menurut frist draft dapat dikategorikan sebagai manipulated content atau konten yang dimanipulasi dengan definisinya yaitu, ketika informasi atau gambar yang asli dimanipulasi untuk menipu. ===== ",FAKTA
" yang digunakan oleh sumber. selengkapnya di bagian  “makhluk ini dari india dia selalu gencar menghina islam,adzan di cela,wanita berkerudung di lempari batu dan di bilang kepanasan dsb. dia juga men- tuhankan sapi. inilah baru azab yg pedih di dunia, silahkan nikmati lg azab yg sngat dahsyat di neraka ya. pic.twitter.com/tacmqcfcdp”. ====== ",HOAX
" (1) http://bit.ly/2rhtadc / http://bit.ly/2mxvn7s, first draft news: “konten yang salah ketika konten yang asli dipadankan dengan konteks informasi yang salah”. * sumber membagikan video sadick ebrahim yang dirawat di rumah sakit rk khan di chatsworth, afrika selatan. * sumber menambahkan narasi yang tidak sesuai dengan fakta sehingga membangun premis pelintiran, dihubung-hubungkan dengan hal lain yang tidak ada kaitannya dengan konteks video yang sesungguhnya. (2) salah satu artikel yang berkaitan: * ctv news: “putra ‘trauma’ membagikan video belatung di mulut ayah yang dirawat di rumah sakit azaad ebrahim memposting video ke facebook yang menunjukkan belatung di mulut ayahnya, sadick ebrahim, di rumah sakit rk khan di chatsworth, afrika selatan. pihak berwenang afrika selatan telah memerintahkan penyelidikan ke sebuah rumah sakit setelah sebuah video muncul yang menunjukkan belatung merangkak di mulut seorang pasien yang kemudian meninggal. …” google translate, selengkapnya di http://bit.ly/2ownmyb / http://archive.fo/xurrr (arsip cadangan). ====== ",FAKTA
" sebagai berikut : “copas” nanaluc nanalucmengerikan ini baru yang namanya aksi teroris biadab. kejadian di wamena , bagusnya kasus ini aja diangkat terus biar rezim ini sadar apa yang udah di lakukannya dalam melindungi rakyatnya, innalilahi wa innalilahi rojiun semoga mereka yang meninggal husnul khatimah” sumber : https://perma.cc/byz7-8cgj (arsip) – sudah dibagikan 2 kali saat tanngkapan layar diambil. ============================================= ",HOAX
"  dari hasil penelusuran tim cekfakta tempo , ternyata faktanya peristiwa di dalam ke 3 foto tersebut bukan terjadi di wamena, melainkan terjadi di tangerang, lahore (pakistan), dan palembang pada tahun 2015 dan 2017. berikut penjelasan lengkapnya. foto 1pencarian terhadap foto pertama mengarahkan tempo pada situs wartainfo.com yang pernah mengunggah foto yang identik pada februari 2015 dalam berita yang berjudul “4 fakta hendriansyah, begal motor yang dibakar massa di tangerang”. menurut berita itu, hendriansyah dibakar oleh warga di pondok aren, tangerang selatan, karena hendak mencuri motor. pelaku pencurian sebenarnya berjumlah empat orang. tapi tiga pelaku lainnya berhasil kabur.  hendriansyah merupakan warga larangan utara, tangerang. ia dibakar hidup-hidup oleh warga setelah sebelumnya dihajar hingga babak belur. tempo pun mencocokkan berita ini dengan pemberitaan di media arus utama. peristiwa ini diberitakan oleh situs sindonews.com pada 26 februari 2015 dengan judul “identitas begal yang dibakar di pondok aren terungkap”. isi berita itu sama dengan apa yang tertulis dalam situs wartainfo.com. sindonews.com menulis nama pelaku pembegalan di pondok aren, tangerang selatan, yang dibakar hidup-hidup pada 24 februari 2015, yakni hendriansyah, terungkap setelah kedua orangtuanya mendatangi kamar mayat rumah sakit umum daerah kabupaten tangerang. dengan demikian, klaim bahwa foto pertama ini merupakan foto peristiwa yang terjadi di wamena adalah keliru. foto 2foto kedua, yang memperlihatkan dua jenazah yang telah gosong karena dibakar massa, ditemukan diunggah pertama kali di forum documentingreality.com pada 17 maret 2015 dalam thread yang berjudul “more photos of the lynchings of two people by a mob of christians”. pengunggah foto yang memakai nama akun orion mystery itu menuliskan keterangan bahwa dua jenazah itu gosong karena dibakar hidup-hidup oleh warga yang marah atas pengeboman dua gereja di lahore, pakistan, pada 15 maret 2015. warga menghakimi dua terduga pelaku itu dengan menghajarnya. akun orion mystery mengunggah 11 foto seri peristiwa itu, yakni sejak massa menghajar kedua terduga pelaku hingga massa membakarnya. belakangan, diketahui bahwa salah satu dari korban yang tewas dibakar tersebut adalah seorang tukang kaca yang tidak terlibat dalam aksi pengeboman gereja itu.   akun tersebut menyertakan tautan berita dari situs koran di pakistan, dawn.com, yang berjudul “lahore lynching victim identified as local glass cutter” sebagai ",FAKTA
"]: belum lama ini, beredar sebuah screenshoot berupa percakapan yang diklaim sebagai bupati banyuangi, azwar anas. dalam percakapan tersebut terlihat bahwa sang bupati menjanjikan pekerjaan pada penerima pesan dengan membayar sejumlah uang. penerima pesan tersebut diketahui bernama siti aminah yang tinggal di malaysia. awal september 2019 siti menerima pesan jawaban via messenger dari akun facebook abdullah azwar anas.  siti mengirim pesan kepada akun tersebut menanyakan lowongan kerja untuk putrinya. tak berapa lama akun tersebut membalas dan percakapan berlanjut via whatsapp yang memberitahu ada lowongan kerja tapi harus membayar senilai rp 3 juta via transfer ke nomor rekening tertentu. menanggapi masalah tersebut, sekretaris daerah banyuwangi mujiono mengimbau kepada semua pihak untuk berhati-hati dalam menanggapi pesan serupa. “itu jelas penipuan, masyarakat jangan percaya. akun media sosial pribadi yang dipegang langsung oleh bupati anas hanya di instagram @azwaranas.a3 di mana masyarakat bisa menyampaikan laporan dan sebagainya. adapun milik pemkab banyuwangi di instagram, facebook, dan twitter di mana masyarakat bisa menyampaikan pendapatnya,” jelas mujiono. mujiono mengaku mendapat laporan dari sejumlah pihak yang merasa tertipu karena mendapat pesan dari orang yang mengaku ‘bupati anas’. dia mencontohkan ada koleganya yang mengaku dikirim pesan ‘bupati anas’ dan dimintai sumbangan untuk anak yatim. “untung orangnya langsung konfirmasi ke saya, dan saya pastikan itu penipuan,” jelas mujiono. tak hanya pesan untuk mentransfer uang, sejumlah pengusaha juga menjadi sasaran penipuan. mereka, kata mujiono, mendapat pesan untuk segera menemui bupati anas di banyuwangi. “sudah ada tiga orang yang mengalami hal ini. ada yang sudah jalan sampai di probolinggo, baru sadar kalau tertipu. ada yang sudah sampai di banyuwangi. ada juga yang minta pulsa,” cerita mujiono. ====== ",FAKTA
"]: esemka resmi membuka showroom yang berada pada kompleks pabrik esemka boyolali. bagi wartawan, netizen, dan seluruh masyarakat indonesia, harap antri dalam pemesanan mobil idaman pada esok hari senin, 14 oktober 2019. ====== [",HOAX
